feature_id,feature_name,jira_keys,ticket_count,category,is_user_facing,llm_reasoning,team,released_date,first_created,lead_time_days,quarter,iso_week,story_points,description,fix_versions
FULL-CQ-DEFECTS,Custom Query defect fixes,FULL-5073|FULL-5052|FULL-5051|FULL-5041|FULL-5038|FULL-5030|FULL-5029|FULL-5025|FULL-5024|FULL-5015|FULL-5014|FULL-5013|FULL-5011|FULL-5010,14,bug_fix,true,"14 Custom Query defects across multiple source types (Vertica, Postgres, MySQL, BQ, Oracle, MSSQL, MariaDB, Redshift) - all user-visible UI and validation bugs in the Custom Query flow",FullStack,2026-03-10,2026-02-05,33,2026-Q1,2026-W11,,"Fixed 14 Custom Query defects across multiple source types covering mapping, validation, and UI issues",TBD
DCI-45,BigQuery partition-aware Merge command,DCI-45|DCI-619|DCI-837|DCI-844|DCI-849|DCI-856|DCI-937,7,feature,true,"New user-facing capability to support partition-aware merge in BigQuery target, reducing query costs and improving performance",CDC,2026-03-09,2025-01-01,432,2026-Q1,2026-W11,,"BigQuery target now supports partition-aware merge, reducing query costs for partitioned tables",
DCI-657,CDC production defect fixes Q1/2026,DCI-657|DCI-887|DCI-863,3,bug_fix,true,Customer-reported production defects including MSSQL CDC stuck on query error and MySQL-Snowflake re-ingestion issues,CDC,2026-03-09,2025-06-01,281,2026-Q1,2026-W11,,"Fixed production defects: MSSQL CDC stuck on query, MySQL-Snowflake incorrect re-ingestion",
DCI-742,RDBMS metadata reload resilience,DCI-748|DCI-910,2,improvement,false,"Internal resilience improvement for metadata reload diffing, not directly visible to end users",CDC,2026-03-09,2025-06-01,281,2026-Q1,2026-W11,,RDBMS metadata reload now applies diffs instead of full reload on MongoDB failure,
DCI-813,Global-E MSSQL to Snowflake error message fix,DCI-813,1,bug_fix,true,Customer-facing error message improvement for Global-E MSSQL to Snowflake pipeline,CDC,2026-03-09,2026-01-01,67,2026-Q1,2026-W11,,Fixed error message for Global-E customer's MSSQL to Snowflake pipeline,
FULL-3963,Troubleshooting Agent - Frontend,FULL-5087,1,feature,true,New user-facing troubleshooting UI with action river error state support,FullStack,2026-03-09,2025-06-11,271,2026-Q1,2026-W11,,Added frontend troubleshooting agent with action river and error state display,TBD
FULL-4797,Blueprint frontend rollout,FULL-5046,1,feature,true,"UI rollout and changes for the troubleshooting agent Blueprint feature, directly visible to users",FullStack,2026-03-09,2025-06-01,281,2026-Q1,2026-W11,,Rolled out troubleshooting agent UI changes for Blueprint,TBD
FULL-NSA-DEFECTS,Netsuite Analytics New UI defect fixes,FULL-5067|FULL-5066|FULL-5065|FULL-5063|FULL-5054,5,bug_fix,true,"5 defects in the new Netsuite Analytics UI affecting bulk mode, extraction settings, table loading, and activation - all customer-visible",FullStack,2026-03-09,2026-02-25,12,2026-Q1,2026-W11,,"Fixed 5 Netsuite Analytics New UI issues: bulk mode counts, extraction mode, table loading, activation failures",TBD
FULL-5084,Dashboard duplicate Blueprint source fix,FULL-5084,1,bug_fix,true,Dashboard UI bug showing duplicate Blueprint sources visible to all users,FullStack,2026-03-09,2026-03-04,5,2026-Q1,2026-W11,,Fixed duplicate Blueprint source appearing in dashboard sources list,TBD
FULL-4798,Knowledge Base frontend,FULL-5050|FULL-4991|FULL-4990|FULL-4989|FULL-4988,5,feature,true,"New Knowledge Base UI with repositories view, login, and API integration - new user-facing feature",FullStack,2026-03-08,2025-06-01,280,2026-Q1,2026-W10,,"Built Knowledge Base frontend with repositories view, JEST tests, and API integration",TBD
